Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].P 	 vectorElement[i].P_Correction 	 vectorElement[i].U_x 	 vectorElement[i].U_x_Correction 	 vectorElement[i].U_y 	 vectorElement[i].U_y_Correction 	 
-0.9546563750 	 -0.1288011313 	 0.1876169106 	 -0.7137374440 	 0.1281910961 	 -0.0006637569 	 -0.9515840812 	 0.0000899326 	 
-0.8309755581 	 0.3936737006 	 0.1958467867 	 -0.5176613584 	 -0.3907629629 	 -0.0005632365 	 -0.8245647307 	 0.0003145142 	 
-0.9232442313 	 -0.1287029951 	 0.1810736069 	 -0.6229952524 	 0.1278115686 	 -0.0006508003 	 -0.9172805788 	 -0.0000403863 	 
-0.1430910555 	 0.2913331105 	 0.1217482415 	 0.4594542359 	 -0.1881800988 	 0.0000120846 	 -0.0924473367 	 0.0000075698 	 
-0.2776677654 	 -0.1589060793 	 0.0645993577 	 0.2333191866 	 0.1010609794 	 0.0001107326 	 -0.1761201761 	 0.0000736745 	 
-0.0263292639 	 -0.2642869431 	 0.1034499627 	 0.4084310366 	 0.1189182638 	 0.0000467328 	 -0.0117605959 	 -0.0003031321 	 
-0.8952669949 	 -0.2034271722 	 0.1836431034 	 -0.5613286756 	 0.2016170050 	 -0.0006392750 	 -0.8884211202 	 -0.0000446056 	 
0.9426417199 	 0.2767845823 	 0.1989900159 	 -0.7423436032 	 -0.2765796849 	 0.0001614924 	 0.9409012965 	 -0.0000478280 	 
-0.1259741705 	 0.9295069208 	 0.1933752048 	 -0.5953449387 	 -0.9241388827 	 -0.0001043829 	 -0.1250677135 	 0.0005725532 	 
0.5160842454 	 -0.7631889902 	 0.2027540728 	 -0.4965353651 	 0.7577369117 	 0.0003117259 	 0.5122662878 	 -0.0004208112 	 
-0.8315410788 	 -0.3795384090 	 0.1879709618 	 -0.5295005828 	 0.3762583933 	 -0.0005902640 	 -0.8249634440 	 -0.0003049246 	 
-0.1485963796 	 0.9120941376 	 0.1885158611 	 -0.5637300352 	 -0.9055287353 	 -0.0000030565 	 -0.1474722669 	 0.0005296470 	 
-0.6849225169 	 -0.6441723507 	 0.1878746411 	 -0.6257017591 	 0.6404526567 	 -0.0004307213 	 -0.6812247416 	 -0.0004185742 	 
-0.9067828396 	 -0.1020881508 	 0.1758773019 	 -0.5723030243 	 0.1010909974 	 -0.0007633358 	 -0.8993615283 	 -0.0001179625 	 
0.9076342512 	 -0.0897241660 	 0.1750665578 	 -0.5739201575 	 0.0893359276 	 0.0008236681 	 0.8998098909 	 -0.0002751526 	 
-0.0072236144 	 0.2863948678 	 0.1488548576 	 0.5843948982 	 -0.1530476106 	 -0.0002004555 	 -0.0039180521 	 -0.0000844907 	 
0.9311347442 	 -0.1114919173 	 0.1800935128 	 -0.6476605391 	 0.1110828781 	 0.0007830860 	 0.9254557748 	 -0.0003343039 	 
-0.9716186167 	 -0.1556991804 	 0.1977647968 	 -0.7534304099 	 0.1557778460 	 -0.0001630459 	 -0.9701381051 	 0.0000122953 	 
0.7416202982 	 -0.5394148252 	 0.1931654294 	 -0.5194659381 	 0.5354645651 	 0.0005574201 	 0.7357185029 	 -0.0003404820 	 
0.5091977740 	 -0.7921777269 	 0.2125310981 	 -0.5325188800 	 0.7877989233 	 0.0002241120 	 0.5063906215 	 -0.0004721454 	 
0.5703944458 	 0.7311474228 	 0.1965552336 	 -0.5432677099 	 -0.7260313814 	 0.0003587614 	 0.5666545347 	 0.0003796435 	 
-0.1330291356 	 -0.2384567682 	 0.1068313142 	 0.4202018899 	 0.1147066157 	 -0.0005244809 	 -0.0640407919 	 0.0002174961 	 
0.3003969593 	 -0.8647738819 	 0.1969476446 	 -0.4986353601 	 0.8577839798 	 0.0000929587 	 0.2978469126 	 -0.0006856200 	 
0.3316823618 	 -0.0118143178 	 0.1003461723 	 0.3697258654 	 0.0076715311 	 -0.0001109775 	 0.2198266458 	 -0.0001963722 	 
