Coord_x	Coord_y	Velosity_Ux	Velocity_Uy	Velocity_P	Num_el
-0.9546563750 	 -0.1288011313 	 0.1283844899 	 -0.9515682856 	 0.3660512716 	 148
-0.8309755581 	 0.3936737006 	 -0.3906763181 	 -0.8246486139 	 0.3252621263 	 149
-0.9232442313 	 -0.1287029951 	 0.1278941951 	 -0.9174423470 	 0.3368224200 	 150
-0.1430910555 	 0.2913331105 	 -0.1882477283 	 -0.0924596799 	 0.0068846825 	 151
-0.2776677654 	 -0.1589060793 	 0.1008368645 	 -0.1761993434 	 0.0062695610 	 152
-0.0263292639 	 -0.2642869431 	 0.1191913260 	 -0.0118742903 	 0.0013422036 	 153
-0.8952669949 	 -0.2034271722 	 0.2018472160 	 -0.8883137318 	 0.3239752723 	 154
0.9426417199 	 0.2767845823 	 -0.2763685656 	 0.9412248970 	 0.3845759167 	 155
-0.1259741705 	 0.9295069208 	 -0.9242182588 	 -0.1252574090 	 0.3422114394 	 156
0.5160842454 	 -0.7631889902 	 0.7575244329 	 0.5122537541 	 0.3268879140 	 157
-0.8315410788 	 -0.3795384090 	 0.3764250268 	 -0.8247198846 	 0.3203461075 	 158
-0.1485963796 	 0.9120941376 	 -0.9055968027 	 -0.1475378480 	 0.3294483699 	 159
-0.6849225169 	 -0.6441723507 	 0.6406529323 	 -0.6811804610 	 0.3443000809 	 160
-0.9067828396 	 -0.1020881508 	 0.1012333934 	 -0.8991905846 	 0.3189530580 	 161
0.9076342512 	 -0.0897241660 	 0.0889684669 	 0.8999897286 	 0.3185465971 	 162
-0.0072236144 	 0.2863948678 	 -0.1529337056 	 -0.0038573810 	 0.0027561330 	 163
0.9311347442 	 -0.1114919173 	 0.1108550931 	 0.9258162505 	 0.3420086476 	 164
-0.9716186167 	 -0.1556991804 	 0.1554866912 	 -0.9702926076 	 0.3861223993 	 165
0.7416202982 	 -0.5394148252 	 0.5351645860 	 0.7357768109 	 0.3230319140 	 166
0.5091977740 	 -0.7921777269 	 0.7879655044 	 0.5064902322 	 0.3456608182 	 167
0.5703944458 	 0.7311474228 	 -0.7261850567 	 0.5665231252 	 0.3323721611 	 168
-0.1330291356 	 -0.2384567682 	 0.1151318125 	 -0.0642291918 	 0.0017808417 	 169
